serialNumber,name,itemCategory,goldKarat,goldWeightGrams,stockCount,description,photoUrl,diamondweight1,diamondpieces1,diamondweight2,diamondpieces2,diamondweight3,diamondpieces3,stonetype1,stonecarats1,stonepieces1,stonetype2,stonecarats2,stonepieces2,stonetype3,stonecarats3,stonepieces3
1,Diamond Ring,Ring,14k,6.06,1,,,0.54,5.4,,,,,,,,,,,,,
2,Diamond Ring,Ring,14k,2.986,1,,,0.5,5,,,,,,,,,,,,,
3,Diamond Ring,Ring,14k,5.86,1,,,1.19,11.9,,,,,,,,,,,,,
4,Diamond Ring,Ring,14k,1.79,1,,,0.18,1.8,,,,,,,,,,,,,
5,Diamond Ring,Ring,14k,2.194,1,,,0.35,3.5,,,,,,,,,,,,,
6,Diamond Ring,Ring,14k,1.95,1,,,0.33,3.3,,,,,,,,,,,,,
7,Diamond Ring,Ring,14k,2.75,1,,,0.75,7.5,,,,,,,,,,,,,
8,Diamond Ring,Ring,14k,3.58,1,,,0.41,4.1,,,,,,,,,,,Ruby,1.26,
9,Diamond Ring,Ring,14k,2.7,1,,,0.56,5.6,,,,,,,,,,,,,
10,Diamond Ring,Ring,14k,2.694,1,,,0.53,5.3,,,,,,,,,,,,,
11,Diamond Ring,Ring,14k,3.66,1,,,0.69,6.9,,,,,,,,,,,,,
12,Diamond Ring,Ring,14k,1.568,1,,,0.36,3.6,,,,,,,,,,,,,
13,Diamond Ring,Ring,14k,2.48,1,,,0.49,4.9,,,,,,,,,,,,,
14,Diamond Ring,Ring,14k,2.92,1,,,0.83,8.3,,,,,,,,,,,,,
15,Diamond Ring,Ring,14k,5.11,1,,,1.24,12.4,,,,,,,,,,,,,
16,Diamond Ring,Ring,14k,3.182,1,,,0.79,7.9,,,,,,,,,,,,,
17,Diamond Ring,Ring,14k,2.984,1,,,0.88,8.8,,,,,,,,,,,,,
18,Diamond Ring,Ring,14k,3.174,1,,,0.68,6.8,,,,,,,,,,,,,
19,Diamond Ring,Ring,14k,3.282,1,,,0.89,8.9,,,,,,,,,,,,,
20,Diamond Ring,Ring,14k,3.786,1,,,0.77,7.7,,,,,,,,,,,,,
21,Diamond Ring,Ring,14k,1.324,1,,,0.13,1.3,,,,,,,,,,,,,
22,Diamond Ring,Ring,14k,3.664,1,,,0.2774,2.774,,,,,,,,,,,,,
23,Diamond Ring,Ring,14k,2.65,1,,,0.46,4.6,,,,,,,,,,,,,
24,Diamond Ring,Ring,14k,2.83,1,,,0.35,3.5,,,,,,,,,,,,,
25,Diamond Ring,Ring,14k,2.564,1,,,0.38,3.8,,,,,,,,,,,,,
26,Diamond Ring,Ring,14k,2.706,1,,,0.52,5.2,,,,,,,,,,,,,
27,Diamond Ring,Ring,14k,2.76,1,,,0.33,3.3,,,,,,,,,,,,,
28,Diamond Ring,Ring,14k,1.904,1,,,0.28,2.8,,,,,,,,,,,,,
29,Diamond Ring,Ring,14k,9.384,1,,,1.38,13.8,,,,,Other,8,,,,,,,
30,Diamond Ring,Ring,14k,7.69,1,,,0.98,9.8,,,,,Other,6.42,,,,,,,
31,Diamond Ring,Ring,14k,4.37,1,,,0.54,5.4,,,,,Other,9.96,,,,,,,
32,Diamond Ring,Ring,14k,6.42,1,,,0.95,9.5,,,,,,,,,,,,,
33,Diamond Ring,Ring,14k,3.194,1,,,0.7,7,0.08,1,,,,,,,,,,,
34,Diamond Ring,Ring,14k,4.4,1,,,1.22,12.2,,,,,,,,,,,,,
35,Diamond Ring,Ring,14k,4.31,1,,,0.6,6,,,,,,,,Emerald,0.7,,,,
36,Diamond Ring,Ring,14k,8.02,1,,,0.96,9.6,,,,,,,,Emerald,2.68,,,,
37,Diamond Ring,Ring,14k,3.8,1,,,0.33,3.3,,,,,,,,Emerald,1.1,,,,
38,Diamond Ring,Ring,14k,5.562,1,,,1.16,11.6,,,,,,,,Emerald,1.63,,,,
39,Diamond Ring,Ring,14k,2.66,1,,,,,,,,,,,,,,,,,
40,Diamond Ring,Ring,14k,3.204,1,,,0.5,0.5,,,,,,,,,,,,,
41,Diamond Ring,Ring,14k,3.91,1,,,,,,,,,,,,,,,,,
42,Diamond Ring,Ring,14k,3.688,1,,,,,,,,,,,,,,,,,
43,Diamond Ring,Ring,14k,4.006,1,,,0.72,0.72,,,,,,,,,,,,,
44,Diamond Ring,Ring,14k,6.64,1,,,0.82,0.82,,,,,,,,,,,,,
45,Diamond Ring,Ring,14k,5.934,1,,,1.13,1.13,,,,,Other,7.8,,,,,,,
46,Diamond Ring,Ring,14k,10.44,1,,,1.97,1.97,,,,,Other,6.3,,,,,,,
47,Diamond Ring,Ring,14k,5.174,1,,,0.77,0.77,,,,,Other,6.36,,,,,,,
48,Diamond Ring,Ring,14k,4.932,1,,,0.39,0.39,,,,,,,,,,,,,
49,Diamond Ring,Ring,14k,5.852,1,,,1.67,1.67,,,,,Other,5.32,,,,,,,
50,Diamond Ring,Ring,14k,4.95,1,,,1.1,1.1,,,,,,,,,,,,,
51,Diamond Ring,Ring,14k,5.614,1,,,0.41,0.41,,,,,Other,2.52,,,,,,,
52,Diamond Ring,Ring,14k,3.318,1,,,0.65,0.65,,,,,,,,,,,,,
53,Diamond Ring,Ring,14k,5.804,1,,,0.86,0.86,,,,,Other,4.92,,,,,,,
54,Diamond Ring,Ring,14k,7.378,1,,,0.92,0.92,,,,,Other,4.84,,,,,,,
55,Diamond Ring,Ring,14k,3.702,1,,,0.54,0.54,,,,,,,,,,,,,
56,Diamond Ring,Ring,14k,2.8,1,,,0.35,0.35,,,,,,,,,,,,,
57,Diamond Ring,Ring,14k,3.126,1,,,0.42,0.42,0.65,10,,,,,,,,,,,
58,Diamond Ring,Ring,14k,8.74,1,,,1.47,1.47,,,,,Other,15.98,,,,,,,
59,Diamond Ring,Ring,14k,3.81,1,,,0.9,0.9,,,,,,,,,,,,,
60,Diamond Ring,Ring,14k,3.524,1,,,,,1.88,10,,,,,,,,,,,
61,Diamond Ring,Ring,14k,3.537,1,,,0.49,0.49,,,,,,,,,,,,,
62,Diamond Ring,Ring,14k,4.78,1,,,1.18,1.18,,,,,,,,,,,,,
63,Diamond Ring,Ring,14k,1.588,1,,,0.46,0.46,,,,,,,,,,,,,
64,Diamond Ring,Ring,14k,2.16,1,,,0.35,0.35,,,,,,,,,,,,,
65,Diamond Ring,Ring,14k,1.518,1,,,0.26,0.26,,,,,,,,,,,,,
66,Diamond Ring,Ring,14k,2.148,1,,,0.36,0.36,,,,,,,,,,,,,
67,Diamond Ring,Ring,14k,1.482,1,,,0.49,0.49,,,,,,,,,,,,,
68,Diamond Ring,Ring,14k,1.92,1,,,0.3,0.3,,,,,,,,,,,,,
69,Diamond Ring,Ring,14k,1.394,1,,,0.48,0.48,,,,,,,,,,,,,
70,Diamond Ring,Ring,14k,2.4,1,,,0.21,0.21,,,,,,,,,,,,,
71,Diamond Ring,Ring,14k,2.77,1,,,,,,,,,,,,,,,,,
72,Diamond Ring,Ring,14k,3.488,1,,,,,0.81,10,,,,,,,,,,,
73,Diamond Ring,Ring,14k,2.344,1,,,,,0.63,10,,,,,,,,,,,
74,Diamond Ring,Ring,14k,1.824,1,,,0.28,0.28,,,,,,,,,,,,,
75,Diamond Ring,Ring,14k,2.398,1,,,0.26,0.26,,,,,,,,,,,,,
